rank,freq,Infinitiv,Unreg,Trans,"Präsens_ich","Präsens_ich*","Präsens_du","Präsens_du*","Präsens_er, sie, es","Präteritum_ich","Präteritum_ich*","Partizip II","Partizip II*","Konjunktiv II_ich","Konjunktiv II_ich*","Imperativ Singular","Imperativ Singular*","Imperativ Singular 2","Imperativ Plural","Imperativ Plural*",Hilfsverb,Hilfsverb*,Bild,"Bild 1","Bild 2","Bild 3","Bild 4"
178,55922,arbeiten,"","",arbeite,"",arbeitest,"",arbeitet,arbeitete,"",gearbeitet,"",arbeitete,"",arbeite,"","",arbeitet,"",haben,"","","Velden Christkindlmarkt Schmied Demo 16122007 21.jpg|mini|1|der Schmied ''arbeitet''","Street Craftsman in Olinda.jpg|thumb|1|Ein [[Handwerker]] ''arbeitet'' auf der [[Straße]].","Flens Flaschenbefüllung.jpg|mini|2|die Flaschenbefüllung ''arbeitet'' wieder","16 inch wide oak flooring.jpeg|mini|4|Fugen entstehen, wenn das Holz ''arbeitet''"
186,52188,verdammen,"","",verdamme,"",verdammst,"",verdammt,verdammte,"",verdammt,"",verdammte,"",verdamm,verdamme,"",verdammt,"",haben,"","","","","",""
187,52157,versuchen,"","",versuche,"",versuchst,"",versucht,versuchte,"",versucht,"",versuchte,"",versuche,"","",versucht,"",haben,"","","","","",""
191,50675,"erzählen","","","erzähle","","erzählst","","erzählt","erzählte","","erzählt","","erzählte","","erzähl","erzähle","","erzählt","",haben,"","","","","",""
194,49877,essen,"","",esse,"",isst,"",isst,"aß","",gegessen,"","äße","",iss,"","",esst,"",haben,"","","","","",""
198,49016,gleichen,"","",gleiche,"",gleichst,"",gleicht,glich,"",geglichen,"",gliche,"",gleiche,"","",gleicht,"",haben,"","","","","",""
204,46564,laufen,"","",laufe,"","läufst","","läuft",lief,"",gelaufen,"",liefe,"",lauf,laufe,"",lauft,"",sein,haben,"","","","",""
209,45882,"heißen","","","heiße","","heißt","","heißt","heißte","","geheißt","","heißte","","heiß","heiße","","heißt","",haben,"","","","","",""
209,45882,"heißen","","","heiße","","heißt","","heißt","hieß","","geheißen","","hieße","","heiß","heiße","","heißt","",haben,"","","","","",""
210,45657,spielen,"","",spiele,"",spielst,"",spielt,spielte,"",gespielt,"",spielte,"",spiel,spiele,"",spielt,"",haben,"","","Duck Duck Goose.jpg|mini|1|[[Kinder]] ''spielen'' auf dem [[Rasen]]","US Navy 090620-N-2798F-033 Sailors assigned to the aircraft carrier USS Harry S. Truman (CVN 75) and Carrier Air Wing (CVW) 3 compete in a Texas Hold 'Em Poker tournament aboard Harry S. Truman.jpg|mini|1|[[Poker]] ''spielen''","MHVC-KyokoYonemoto-PaganiniCaprice24.ogv|mini|3| die [[Geigerin]] Kyoko Yonemoto ''spielt'' Niccolò Paganinis Caprice Nr. 24 in A-[[Moll]]","Tennis-spielendes-M%C3%A4dchen.jpg|mini|4|Ein [[Mädchen]] ''spielt'' [[Tennis]]"
212,45252,stimmen,"","",stimme,"",stimmst,"",stimmt,stimmte,"",gestimmt,"",stimmte,"",stimm,stimme,"",stimmt,"",haben,"","Pipe organ tuning.ogv|mini|1|''Stimmen'' einer [[Orgel]]","","","",""
