rank,freq,Infinitiv,Unreg,Trans,"Präsens_ich","Präsens_du","Präsens_er, sie, es","Präteritum_ich","Partizip II","Konjunktiv II_ich","Imperativ Singular","Imperativ Plural",Hilfsverb
592,12523,"gehören","","","gehöre","gehörst","gehört","gehörte","gehört","gehörte","gehör","gehört",haben
593,12492,melden,"","",melde,meldest,meldet,meldete,gemeldet,meldete,melde,meldet,haben
594,12453,schaden,"","",schade,schadest,schadet,schadete,geschadet,schadete,schade,schadet,haben
598,12298,drehen,"","",drehe,drehst,dreht,drehte,gedreht,drehte,drehe,dreht,haben
600,12239,kranken,"","",kranke,krankst,krankt,krankte,gekrankt,krankte,kranke,krankt,haben
601,12233,laden,"","",lade,"lädst","lädt",lud,geladen,"lüde",lade,ladet,haben
601,12233,laden,"","",lade,"lädst","lädt",lud,geladen,"lüde",lade,ladet,haben
604,12169,erreichen,"","",erreiche,erreichst,erreicht,erreichte,erreicht,erreichte,erreich,erreicht,haben
611,11954,tagen,"","",tage,tagst,tagt,tagte,getagt,tagte,tag,tagt,haben
615,11899,triefen,"","",triefe,triefst,trieft,troff,getroffen,"tröffe",trief,trieft,haben
616,11870,"fällen","","","fälle","fällst","fällt","fällte","gefällt","fällte","fälle","fällt",haben
618,11831,angreifen,"","","greife an","greifst an","greift an","griff an",angegriffen,"griffe an","greif an","greift an",haben
624,11725,kosten,"","",koste,kostest,kostet,kostete,gekostet,kostete,koste,kostet,haben
624,11725,kosten,"","",koste,kostest,kostet,kostete,gekostet,kostete,koste,kostet,haben
628,11665,"stören","","","störe","störst","stört","störte","gestört","störte","stör","stört",haben
630,11657,bauen,"",X,baue,baust,baut,baute,gebaut,baute,baue,baut,haben
639,11457,"übernehmen","","","übernehme","übernimmst","übernimmt","übernahm","übernommen","übernähme","übernimm","übernehmt",haben
655,11230,tanzen,"","",tanze,tanzt,tanzt,tanzte,getanzt,tanzte,tanze,tanzt,haben
662,11036,antworten,"","",antworte,antwortest,antwortet,antwortete,geantwortet,antwortete,antworte,antwortet,haben
665,10926,"erschießen","","","erschieße","erschießt","erschießt",erschoss,erschossen,"erschösse","erschieß","erschießt",haben
667,10896,nachdenken,"","","denke nach","denkst nach","denkt nach","dachte nach",nachgedacht,"dächte nach","denke nach","denkt nach",haben
669,10884,beruhigen,"","",beruhige,beruhigst,beruhigt,beruhigte,beruhigt,beruhigte,beruhige,beruhigt,haben
681,10625,stillen,"","",stille,stillst,stillt,stillte,gestillt,stillte,still,stillt,haben
682,10625,weinen,"","",weine,weinst,weint,weinte,geweint,weinte,weine,weint,haben
689,10525,"nähen","",X,"nähe","nähst","näht","nähte","genäht","nähte","nähe","näht",haben
691,10494,"schwören","","","schwöre","schwörst","schwört",schwor,geschworen,"schwüre","schwöre","schwört",haben
695,10470,"fürchten","",X,"fürchte","fürchtest","fürchtet","fürchtete","gefürchtet","fürchtete","fürchte","fürchtet",haben
708,10145,"beschützen","","","beschütze","beschützt","beschützt","beschützte","beschützt","beschützte","beschütze","beschützt",haben
709,10140,steigen,"","",steige,steigst,steigt,stieg,gestiegen,stiege,steig,steigt,sein
711,10121,"nähern","","","nähere","näherst","nähert","näherte","genähert","näherte","nähere","nähert",haben
713,10096,erwischen,"","",erwische,erwischst,erwischt,erwischte,erwischt,erwischte,erwische,erwischt,haben
714,10084,"verändern","",X,"verändere","veränderst","verändert","veränderte","verändert","veränderte","veränder","verändert",haben
718,10048,merken,"","",merke,merkst,merkt,merkte,gemerkt,merkte,merke,merkt,haben
718,10048,merken,"","",merke,merkst,merkt,merkte,gemerkt,merkte,merke,merkt,haben
730,9900,verlangen,"","",verlange,verlangst,verlangt,verlangte,verlangt,verlangte,verlange,verlangt,haben
733,9849,beweisen,"","",beweise,beweist,beweist,bewies,bewiesen,bewiese,beweise,beweist,haben
736,9809,entfernen,"","",entferne,entfernst,entfernt,entfernte,entfernt,entfernte,entferne,entfernt,haben
737,9805,mitnehmen,"","","nehme mit","nimmst mit","nimmt mit","nahm mit",mitgenommen,"nähme mit","nimm mit","nehmt mit",haben
739,9738,"überleben","","","überlebe","überlebst","überlebt","überlebte","überlebt","überlebte","überlebe","überlebt",haben
743,9674,regeln,"","",regle,regelst,regelt,regelte,geregelt,regelte,regle,regelt,haben
747,9581,sieben,"","",siebe,siebst,siebt,siebte,gesiebt,siebte,sieb,siebt,haben
750,9525,schreien,"","",schreie,schreist,schreit,schrie,geschrien,schrie,schreie,schreit,haben
753,9497,planen,"","",plane,planst,plant,plante,geplant,plante,plane,plant,haben
754,9477,aufhalten,"","","halte auf","hältst auf","hält auf","hielt auf",aufgehalten,"hielte auf","halte auf","haltet auf",haben
